region,主营业务收入
北京,2427.41
天津,2024.56
河北,304.25
山西,180.32
内蒙古,51.38
辽宁,924.03
吉林,76.78
黑龙江,17.61
上海,6111.58
江苏,14846.45
浙江,2128.25
安徽,521.61
福建,2619.72
江西,574.11
山东,3602.89
河南,657.69
湖北,905.21
湖南,702.33
广东,21274.27
广西,303.6
海南,12.36
重庆,789.75
四川,2062.27
贵州,44.69
云南,17.31
西藏,
陕西,248.39
甘肃,23.85
青海,0.57
宁夏,3.05
新疆,18.58
