region,主营业务收入
全 国,99629.48
北 京,2715.14
天 津,1932.92
河 北,518.22
山 西,775.87
内蒙古,43.9
辽 宁,537.64
吉 林,92.8
黑龙江,24.38
上 海,5420.79
江 苏,18881.07
浙 江,3226.89
安 徽,2242.64
福 建,3372.6
江 西,1797.07
山 东,5769.76
河 南,3873.05
湖 北,2310.99
湖 南,2001.3
广 东,33121.04
广 西,1502.3
海 南,6.66
重 庆,3971.07
四 川,4068.74
贵 州,434.65
云 南,107.41
西 藏,
陕 西,801.68
甘 肃,75.39
青 海,1.12
宁 夏,
新 疆,2.41
