region,主营业务收入
北京,2837.98
天津,1879.72
河北,88.79
山西,68.03
内蒙古,91.54
辽宁,544.02
吉林,30.23
黑龙江,13.4
上海,5142.59
江苏,8104.51
浙江,1791.93
安徽,117.12
福建,1509.04
江西,107.44
山东,1968.13
河南,92.84
湖北,303.32
湖南,103.37
广东,13327.52
广西,46.48
海南,6.52
重庆,49.5
四川,567.36
贵州,26.13
云南,13.12
西藏,
陕西,157.33
甘肃,14.62
青海,
宁夏,
新疆,11.56
