region,主营业务收入
北 京,5500.22
天 津,2073.51
河 北,659.08
山 西,1463.98
内蒙古,248.69
辽 宁,763.99
吉 林,185.78
黑龙江,20.91
上 海,5704.05
江 苏,22158.7
浙 江,8676.93
安 徽,4450.03
福 建,5211.68
江 西,5306.44
山 东,4236.68
河 南,7039.31
湖 北,3504.04
湖 南,2892.85
广 东,46395.14
广 西,1331.94
海 南,8.35
重 庆,6614.73
四 川,8317.46
贵 州,417.59
云 南,1061.82
西 藏,0.92
陕 西,2108.59
甘 肃,229.57
青 海,99.85
宁 夏,307.13
新 疆,61.92
