region,主营业务收入
北 京,3624.99
天 津,1742.26
河 北,413.25
山 西,980.14
内蒙古,143.7
辽 宁,731.54
吉 林,54.04
黑龙江,19.07
上 海,5363.72
江 苏,16434.93
浙 江,4998.41
安 徽,2787.11
福 建,4531.02
江 西,3332.31
山 东,2859.41
河 南,3966.01
湖 北,2437.42
湖 南,2351.23
广东,40905.46
广 西,1282.79
海 南,5.02
重 庆,4945.28
四 川,5348.41
贵 州,549.78
云 南,460.76
西 藏,
陕 西,1314.87
甘 肃,135.6
青 海,29.25
宁 夏,117.97
新 疆,7.14
