region,主营业务收入
北 京,2593.85
天 津,3032.7
河 北,387.44
山 西,494.26
内蒙古,82.38
辽 宁,916.54
吉 林,81.09
黑龙江,22.76
上 海,5549.05
江 苏,17041.87
浙 江,2465.83
安 徽,1024.85
福 建,2937.72
江 西,918.02
山 东,4455.78
河 南,2344.3
湖 北,1303.76
湖 南,1499.86
广 东,24668.39
广 西,696.05
海 南,12.95
重 庆,2149.94
四 川,3742
贵 州,48.46
云南,31.3
西 藏,
陕 西,269.66
甘 肃,44.17
青 海,2.36
宁 夏,
新 疆,0.45
