region,主营业务收入
全国,91606.58
北京,2519.79
天津,2586.43
河北,520.51
山西,654.81
内蒙古,60.07
辽宁,606.57
吉林,89.1
黑龙江,22.72
上海,5706.66
江苏,18200.18
浙江,2854.3
安徽,1949.73
福建,3102.85
江西,1374.65
山东,5483.17
河南,3642.94
湖北,1962.16
湖南,1853.43
广东,29421.29
广西,1262.61
海南,11.31
重庆,3253.21
四川,3481.09
贵州,307.66
云南,39.35
西藏,
陕西,578.25
甘肃,55.06
青海,3.57
宁夏,
新疆,3.13
