region,主营业务收入
北京,2338.85
天津,1469.83
河北,172.71
山西,90.07
内蒙古,102.38
辽宁,622.16
吉林,62.27
黑龙江,20.16
上海,5055.94
江苏,10243.61
浙江,1457.6
安徽,163.27
福建,1702.41
江西,253.92
山东,2838.1
河南,136.85
湖北,620.42
湖南,194.54
广东,15380.65
广西,102.67
海南,5.85
重庆,101.32
四川,862.06
贵州,38.02
云南,13.05
西藏,
陕西,142.23
甘肃,12.82
青海,0.53
宁夏,1.5
新疆,10.15
