region,主营业务收入
北 京,2815.51
天 津,2902.92
河 北,442.19
山 西,591.95
内蒙古,86.55
辽 宁,915.55
吉 林,77.95
黑龙江,24.9
上 海,5733.03
江 苏,17391.49
浙 江,2716.91
安 徽,1593.18
福 建,2969.7
江 西,1176.22
山 东,4854.71
河 南,2897.92
湖 北,1606.38
湖 南,1612.47
广 东,26757.51
广 西,923.6
海 南,10.74
重 庆,2865.36
四 川,3916.22
贵 州,127.38
云 南,33.65
西 藏,
陕 西,388.57
甘 肃,48.81
青 海,3.34
宁 夏,
新 疆,1.54
