region,主营业务收入
全 国,70430.07
北 京,2468.53
天 津,2559.03
河 北,335.85
山 西,440.91
内蒙古,84.09
辽 宁,957.65
吉 林,59.81
黑龙江,16.31
上 海,5842.41
江 苏,16141.3
浙 江,2178.07
安 徽,775.08
福 建,2739.54
江 西,732.46
山 东,3963.98
河 南,1682.01
湖 北,1071.96
湖 南,1011.02
广 东,22305.51
广 西,473.51
海 南,33.25
重 庆,1460.36
四 川,2708.9
贵 州,58.28
云南,26.65
西 藏,
陕 西,271.76
甘 肃,30.19
青 海,1.17
宁 夏,
新 疆,0.49
