region,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年
北京市,1101,1107,1163,1134,1150,1103,737,760,782,805,805,795,,799,853,884,937
天津市,602,698,708,776,868,817,497,587,585,583,591,533,,452,491,549,585
河北省,312,338,346,361,424,438,370,433,504,556,633,633,,650,670,745,840
山西省,145,164,151,151,154,157,118,136,138,134,139,133,,170,180,206,255
内蒙古,71,82,89,95,109,107,98,97,100,95,107,109,,93,99,105,111
辽宁省,547,687,779,870,999,987,701,738,735,687,604,460,,456,493,508,549
吉林省,246,294,329,404,447,436,368,394,394,393,406,442,,346,311,321,350
黑龙江,155,154,174,198,209,199,138,161,183,182,179,174,,156,170,188,227
上海市,1248,1229,1318,1542,1536,1423,962,1030,1024,1003,1020,991,,1027,1111,1195,1323
江苏省,2220,2501,2936,4468,4542,4868,4061,4598,4865,4852,4903,5007,,4870,5111,5973,6893
浙江省,1991,2301,2695,2849,3094,3339,1923,2143,2391,2437,2603,2595,,2785,3150,3622,4230
安徽省,287,332,391,489,617,745,574,744,841,1036,1198,1398,,1456,1466,1702,1931
福建省,517,572,605,677,743,791,596,692,742,796,844,858,,1005,1184,1227,1314
江西省,272,314,371,477,502,555,499,602,696,792,923,1064,,1305,1500,1779,2111
山东省,1219,1378,1591,1721,1907,1847,1514,1875,2015,2114,2268,2207,,1978,1564,1718,1922
河南省,383,460,546,629,678,728,723,848,933,1068,1176,1261,,1123,1106,1198,1369
湖北省,446,489,534,683,739,798,544,687,830,920,1037,1063,,1136,1230,1339,1489
湖南省,316,361,387,522,603,683,683,788,881,900,953,1027,,1259,1381,1651,1838
广东省,16831,13274,13870,5719,5603,5774,4601,5059,5802,5874,6194,6570,,8525,9542,10670,12372
广西,214,242,254,292,303,338,275,285,301,296,313,318,,355,365,448,501
海南省,57,58,48,55,52,57,46,50,51,49,51,52,,56,60,63,69
重庆市,149,159,172,254,287,324,252,315,383,460,561,678,,696,747,813,866
四川省,563,643,739,874,830,830,727,813,841,911,999,1107,,1283,1422,1576,1766
贵州省,178,167,151,147,151,150,119,135,149,193,226,330,,475,428,399,387
云南省,122,128,137,147,143,144,104,123,136,148,177,213,,254,256,279,286
西藏,12,13,8,8,10,11,5,6,8,9,8,9,,8,11,11,17
陕西省,307,304,320,328,359,381,325,379,402,435,475,525,,597,683,749,787
甘肃省,84,86,80,71,80,81,59,87,107,117,124,121,,119,109,119,140
青海省,24,25,26,26,28,28,26,27,28,36,41,45,,44,37,37,42
宁夏,20,17,15,17,20,16,14,19,19,24,31,32,,43,49,46,57
新疆,26,29,30,30,31,34,23,25,28,34,42,48,,52,54,74,82
