region,year,id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
江苏省,2012,江苏省2012,31265.95383570944,0.3288197251414713,342262.0,0.24276586929501298,0.6741778115628472,45120.0,0.9638321867126154,0.17682270833908031,1.1620114275212805,0.7523224848924407,2432.63
江苏省,2013,江苏省2013,33348.11643835616,0.28024582967515366,393942.0,0.25185048491931683,0.6666250723662592,52718.0,1.0152549093261547,0.18157407959902142,1.142423839401668,0.5453087949989222,2617.75
江苏省,2014,江苏省2014,34802.000689893066,0.27347703842549204,422865.0,0.29050669294571735,0.6404643797528955,73252.0,1.0081407573937942,0.18451679718940905,1.0997451619436924,0.5155919245861528,2797.9
江苏省,2015,江苏省2015,36647.32374848433,0.2054494828957836,441304.0,0.3375886817356872,0.6318936484900669,85485.0,1.0145887221934817,0.18721275462379888,1.0545624353356988,0.45752055457036916,3110.17
江苏省,2016,江苏省2016,37877.09497206704,0.33814631463146316,451885.0,0.40055115973193595,0.6233145381197304,117912.0,1.0323243069386543,0.19481010742926314,1.030315865229075,0.6702127659574468,3526.6
江苏省,2017,江苏省2017,39549.97365185315,0.3923602923838717,455468.0,0.42548553309552123,0.4864909746437516,140346.0,1.0275406337218846,0.2049233328094193,0.9354546423306673,0.599320279362653,4068.8
江苏省,2018,江苏省2018,40229.496530866396,0.3464684014869889,455530.0,0.4306294471811713,0.45509481297697246,176120.0,0.9965417749493545,0.2100825492528174,0.8760010190179769,0.027240452569760116,4068.8
江苏省,2019,江苏省2019,40919.07930228376,0.15816399033679124,508375.0,0.5937296593621176,0.44149418278232516,180893.0,1.0423804862130854,0.2049589863209935,0.8737503928737406,0.373931498706496,4068.8
江苏省,2020,江苏省2020,41717.785843920145,0.16812439261418854,538781.0,0.5214678679636422,0.580099533746443,224512.0,1.2207234825260576,0.24151230518969408,0.8553433285948778,0.3769970528928184,4068.8
江苏省,2021,江苏省2021,49121.643835616436,,612676.0,0.48511931202359587,0.4845475796346875,242423.0,1.4174377955994242,0.23929559055627359,0.7144541850441827,0.43398268398268397,4068.8
江西省,2007,江西省2007,16940.825124635725,0.41586206896551725,,0.3687150837988827,0.04411414493943749,406.0,0.15656650911546252,0.0735987002437043,2.07452268528023,0.8539078082968873,147.81
江西省,2008,江西省2008,20740.2251114939,0.4227156276686593,17537.0,0.08689748811948404,0.05496271578875685,406.0,0.19833679833679835,0.07441530829199149,1.8328850148115359,0.5809542950740987,195.93
江西省,2009,江西省2009,17993.41915372626,0.4239766081871345,19959.0,0.06314672326877156,0.0785522041763341,511.0,0.20530017994438085,0.07734559740815908,1.7981438515081207,0.7034451094332448,311.1
江西省,2010,江西省2010,17853.25638911789,0.6069042316258352,,0.20853658536585365,0.08776142167171215,975.0,0.23241206030150754,0.07034745045451048,1.451390012247822,0.9694132334581773,453.03
江西省,2011,江西省2011,22015.384615384617,0.49955595026642985,23969.0,0.06465051689554081,0.10510407703714553,975.0,0.20984020185029437,0.07056269223810385,1.253519579664244,0.9370002757099531,428.6
