region,企业数,有科技活动企业数
北京市,3231,1192
天津市,4286,1714
河北省,14790,2218
山西省,3835,468
内蒙古自治区,2801,345
辽宁省,6626,1420
吉林省,5971,386
黑龙江省,3731,410
上海市,8122,2057
江苏省,45414,19323
浙江省,39949,15517
安徽省,18883,4697
福建省,17348,3825
江西省,10889,2506
山东省,38147,8920
河南省,22023,3526
湖北省,15097,3566
湖南省,15201,4057
广东省,47203,16793
广西壮族自治区,5723,543
海南省,335,77
重庆市,6684,1906
四川省,13904,2674
贵州省,5311,946
云南省,4186,1003
西藏自治区,116,12
陕西省,6271,1180
甘肃省,1905,397
青海省,569,57
宁夏回族自治区,1223,255
新疆维吾尔自治区,2955,228
