region,企业数,有科技活动企业数
北京市,3028,1202
天津市,5120,1444
河北省,14239,3137
山西省,5480,855
内蒙古自治区,2985,391
辽宁省,7755,1874
吉林省,3043,354
黑龙江省,3832,486
上海市,8804,2498
江苏省,50168,26161
浙江省,47956,23846
安徽省,18447,6918
福建省,18845,5979
江西省,14341,5081
山东省,29628,11604
河南省,19803,4887
湖北省,15708,5649
湖南省,18239,7969
广东省,58483,23081
广西壮族自治区,7099,857
海南省,493,88
重庆市,6938,2878
四川省,15280,4385
贵州省,4482,1267
云南省,4401,1206
西藏自治区,167,12
陕西省,7205,1480
甘肃省,1952,421
青海省,580,74
宁夏回族自治区,1241,422
新疆维吾尔自治区,3633,185
