region,企业数,有科技活动企业数
北京,606,312
天津,601,239
河北,1346,376
山西,987,221
内蒙古,449,94
辽宁,1164,313
吉林,451,102
黑龙江,481,164
上海,1667,492
江苏,4068,2236
浙江,4295,2468
安徽,734,411
福建,1648,552
江西,537,198
山东,3451,1005
河南,1885,591
湖北,930,348
湖南,722,370
广东,6039,1619
广西,541,191
海南,88,14
重庆,568,317
四川,1098,496
贵州,261,112
云南,406,143
西藏,,
陕西,521,249
甘肃,250,96
青海,73,28
宁夏,130,59
新疆,255,80
