region,企业数,有科技活动企业数
北京,678,285
天津,797,245
河北,1627,290
山西,1118,138
内蒙古,724,95
辽宁,1505,229
吉林,511,76
黑龙江,571,118
上海,1750,521
江苏,5418,2257
浙江,4420,2096
安徽,1120,374
福建,2240,521
江西,820,171
山东,3824,1076
河南,2536,645
湖北,1421,417
湖南,1069,460
广东,7399,1676
广西,811,167
海南,117,18
重庆,786,247
四川,1841,208
贵州,260,69
云南,619,111
西藏,14,2
陕西,672,180
甘肃,312,78
青海,102,18
宁夏,153,51
新疆,301,50
