region,企业数,有科技活动企业数
北京,7205,1858
天津,7415,952
河北,12098,887
山西,4345,439
内蒙古,3954,187
辽宁,21876,1062
吉林,5245,312
黑龙江,4392,363
上海,18799,1121
江苏,64277,8947
浙江,57885,12897
安徽,10484,1604
福建,16935,1511
江西,7365,640
山东,42134,2568
河南,18251,1690
湖北,11940,1566
湖南,12381,1841
广东,52252,3989
广西,4980,579
海南,526,46
重庆,5977,622
四川,13533,1375
贵州,2415,210
云南,3264,380
西藏,88,13
陕西,3854,468
甘肃,1862,207
青海,410,38
宁夏,880,123
新疆,1858,142
