region,企业数,有科技活动企业数
北京,6890,1114
天津,6875,620
河北,12755,532
山西,4022,262
内蒙古,4464,191
辽宁,23359,897
吉林,5936,194
黑龙江,4389,302
上海,16905,1389
江苏,60831,7278
浙江,60479,7842
安徽,13459,1084
福建,16822,1329
江西,7538,476
山东,45511,2311
河南,18510,1327
湖北,14024,1133
湖南,13307,1586
广东,52186,3583
广西,5586,414
海南,490,53
重庆,6412,549
四川,12998,843
贵州,2512,143
云南,3390,212
西藏,87,7
陕西,4265,319
甘肃,1985,135
青海,415,25
宁夏,969,113
新疆,1995,122
