region,企业数,有科技活动企业数
北京,3746,931
天津,5009,1037
河北,11570,656
山西,3675,208
内蒙古,4174,149
辽宁,16906,652
吉林,5157,219
黑龙江,3376,272
上海,9962,1480
江苏,43368,7449
浙江,34697,8026
安徽,12432,1375
福建,14116,1502
江西,6481,419
山东,35811,2433
河南,18328,1250
湖北,10632,1160
湖南,12476,1637
广东,38302,4156
广西,5046,466
海南,358,43
重庆,4778,431
四川,12218,405
贵州,2365,146
云南,2772,286
西藏,56,5
陕西,3684,332
甘肃,1370,138
青海,386,23
宁夏,764,94
新疆,1738,87
