region,企业数,有科技活动企业数
北京市,3073,1243
天津市,5662,1649
河北省,16127,3906
山西省,6859,976
内蒙古自治区,3291,482
辽宁省,8499,2123
吉林省,3228,429
黑龙江省,4355,645
上海市,9309,2722
江苏省,56281,27303
浙江省,53730,26189
安徽省,19880,7982
福建省,20105,6908
江西省,15813,5986
山东省,33057,15647
河南省,21679,6091
湖北省,16792,6733
湖南省,19301,9999
广东省,66307,26688
广西壮族自治区,8065,1386
海南省,563,135
重庆市,7314,3361
四川省,16453,4798
贵州省,5090,1591
云南省,4569,1254
西藏自治区,186,15
陕西省,7569,1557
甘肃省,2262,470
青海省,633,92
宁夏回族自治区,1383,556
新疆维吾尔自治区,4082,308
