region,企业数,有科技活动企业数
北京,3641,1059
天津,5499,1732
河北,13968,853
山西,3979,327
内蒙古,4404,258
辽宁,17297,1100
吉林,5376,252
黑龙江,4398,331
上海,9796,1661
江苏,48771,12283
浙江,39552,10824
安徽,16184,2369
福建,16120,2286
江西,8126,954
山东,40467,3747
河南,20573,1705
湖北,14650,1714
湖南,13599,1914
广东,41181,5691
广西,5488,456
海南,388,63
重庆,5559,668
四川,13001,819
贵州,3590,179
云南,3537,394
西藏,76,9
陕西,4751,574
甘肃,1981,291
青海,521,40
宁夏,1044,127
新疆,2224,152
