region,企业数,有科技活动企业数
北京,3692,984
天津,5342,1272
河北,12360,765
山西,3905,224
内蒙古,4244,221
辽宁,17347,785
吉林,5286,227
黑龙江,3911,305
上海,9772,1562
江苏,45859,11133
浙江,36496,9590
安徽,14514,1970
福建,15333,2014
江西,7217,433
山东,37625,3166
河南,19237,1374
湖北,12441,1285
湖南,12785,1777
广东,37790,5082
广西,5239,476
海南,377,53
重庆,4985,518
四川,12719,676
贵州,2752,167
云南,3211,304
西藏,64,8
陕西,4284,400
甘肃,1735,177
清海,423,26
宁夏,865,109
新疆,1959,121
