region,企业数,有科技活动企业数
北京市,3197,1127
天津市,4292,1387
河北省,14943,1748
山西省,3875,445
内蒙古自治区,2832,273
辽宁省,6621,1489
吉林省,5963,324
黑龙江省,3740,329
上海市,8130,2174
江苏省,45675,19669
浙江省,40586,16505
安徽省,19421,4468
福建省,17470,4292
江西省,11630,3547
山东省,38333,7984
河南省,22081,3364
湖北省,15598,3803
湖南省,16055,5979
广东省,47456,16570
广西壮族自治区,6058,485
海南省,337,66
重庆市,6772,2292
四川省,14205,2569
贵州省,5583,948
云南省,4260,1003
西藏自治区,123,13
陕西省,6426,1096
甘肃省,1917,330
青海省,586,60
宁夏回族自治区,1250,306
新疆维吾尔自治区,3025,175
