region,企业数,有科技活动企业数
北京,3548,1141
天津,5525,2084
河北,15305,1388
山西,3850,295
内蒙古,4404,320
辽宁,12299,927
吉林,5682,274
黑龙江,4162,336
上海,8994,1866
江苏,48488,16369
浙江,41167,13634
安徽,19072,3258
福建,17240,3038
江西,9954,1282
山东,41485,5766
河南,22893,2454
湖北,16413,2421
湖南,13992,2731
广东,42113,8113
广西,5511,456
海南,380,70
重庆,6612,1225
四川,13524,1304
贵州,4482,285
云南,3873,744
西藏,104,10
陕西,5413,868
甘肃,2141,457
青海,575,35
宁夏,1245,154
新疆,2707,265
