region,企业数,有科技活动企业数
北京市,3121,1127
天津市,4813,1298
河北省,13181,2351
山西省,4798,530
内蒙古自治区,2965,292
辽宁省,7610,1629
吉林省,3042,323
黑龙江省,3531,330
上海市,8776,2349
江苏省,46090,27365
浙江省,45695,20217
安徽省,17761,5925
福建省,18373,5305
江西省,13022,4335
山东省,27129,7114
河南省,19516,4458
湖北省,15521,4877
湖南省,16562,7122
广东省,55394,20922
广西壮族自治区,6185,615
海南省,412,76
重庆市,6694,2581
四川省,14599,3448
贵州省,4686,1078
云南省,4366,1243
西藏自治区,148,9
陕西省,7037,1250
甘肃省,1825,416
青海省,585,99
宁夏回族自治区,1196,361
新疆维吾尔自治区,3182,153
