region,企业数,有科技活动企业数
北京,3686,1140
天津,5489,2046
河北,14799,1086
山西,3906,312
内蒙古,4413,268
辽宁,15705,1215
吉林,5311,273
黑龙江,4305,320
上海,9469,1839
江苏,48708,14150
浙江,40841,12113
安徽,17757,2946
福建,16744,2491
江西,9010,1032
山东,40756,4611
河南,21752,2126
湖北,15957,1960
湖南,13723,2203
广东,41133,6563
广西,5440,453
海南,382,70
重庆,6159,974
四川,13268,1248
贵州,3895,234
云南,3783,500
西藏,97,10
陕西,5081,768
甘肃,2084,353
青海,568,45
宁夏,1170,148
新疆,2477,179
