region,x10_2,x10_1
北 京,415,193
天 津,1739,1731
河 北,34081,18880
山 西,42635,17150
内蒙古,35117,12377
辽 宁,25526,11478
吉林,4676,2407
黑龙江,6769,3166
上 海,1809,1702
江 苏,11870,10866
浙 江,4591,4546
安 徽,14012,12026
福 建,6043,4016
江 西,12083,5498
山 东,24989,19612
河 南,15355,11468
湖 北,8987,6178
湖 南,4360,3270
广 东,6944,5631
广 西,9030,4389
海 南,714,484
重 庆,2272,1909
四 川,14903,5656
贵 州,9516,6610
云 南,17473,9060
西 藏,1940,185
陕 西,12430,6443
甘 肃,5450,2804
青 海,15724,6892
宁 夏,6738,3117
新 疆,9354,4053
