region,x10_2,x10_1
北京,1020.76,894.98
天津,1734.62,1723.94
河北,41927.59,18227.68
山西,30198.69,19680.89
内蒙古,23191.3,13259.98
辽宁,28666.32,10719.24
吉林,4944.11,3477.91
黑龙江,6312.27,4069.4
上海,1924.79,1876.86
江苏,10924.73,10577.77
浙江,4541.72,4302.79
安徽,12000,10466.33
福建,4834.9,4277.69
江西,10821.21,6120.56
山东,19199.44,18380.19
河南,15917.4,12319.32
湖北,8006.35,6139.42
湖南,6933.77,4410.16
广东,5665.09,4893.04
广西,8037.55,5057.71
海南,515.42,273.93
重庆,3067.78,2648.22
四川,14246.37,6185.29
贵州,7394.22,4312.91
云南,14480.63,7215.67
西藏,383.09,8.03
陕西,8682.5,5464.23
甘肃,6140.54,3086.26
青海,12423.29,6998.64
宁夏,3693.91,2927.59
新疆,7789.67,4333.62
