region,x10_2,x10_1
全国,327079,198807
北京,710,592
天津,1546,1524
河北,35372,19900
山西,31794,17617
内蒙古,26669,12306
辽宁,32434,10029
吉林,5385,2986
黑龙江,7495,4308
上海,1868,1796
江苏,10701,10207
浙江,4486,4263
安徽,13059,11763
福建,4956,3784
江西,10777,6152
山东,19798,18309
河南,14722,11456
湖北,7750,5253
湖南,7126,4683
广东,5609,5103
广西,6977,4388
海南,422,268
重庆,2828,2424
四川,12316,5507
贵州,7055,4289
云南,14109,7198
西藏,400,12
陕西,9330,6102
甘肃,5824,3079
青海,14868,7247
宁夏,3430,2131
新疆,7263,4133
