region,x10_2,x10_1
北京,629,543
天津,1490,1475
河北,33236,18455
山西,28845,13950
内蒙古,24762,11359
辽宁,22822,9363
吉林,4006,2234
黑龙江,6940,3582
上海,1680,1608
江苏,11649,10662
浙江,4263,3951
安徽,12653,10830
福建,4449,3091
江西,12665,4909
山东,22510,18976
河南,14256,10486
湖北,8193,4715
湖南,5320,3994
广东,5610,4904
广西,6938,4487
海南,330,211
重庆,2344,1848
四川,11765,4612
贵州,7753,4530
云南,13122,6690
西藏,426,13
陕西,8648,6639
甘肃,5091,2628
青海,14669,7325
宁夏,3618,1886
新疆,8530,4140
