region,x10_2,x10_1
北 京,702,499
天 津,1602,1553
河 北,33981,17690
山 西,43479,16281
内蒙古,34841,9357
辽 宁,23287,10556
吉林,6222,2691
黑龙江,8754,3883
上 海,1789,1681
江 苏,13610,12314
浙 江,5656,5038
安徽,14068,12581
福 建,7132,5075
江 西,12406,5676
山 东,28484,23152
河 南,17582,10206
湖 北,10746,7339
湖 南,6016,4460
广 东,8216,6734
广 西,9284,4765
海 南,474,241
重 庆,2496,1841
四 川,15221,5422
贵 州,10671,5276
云南,17115,7040
西 藏,760,16
陕 西,12894,4861
甘 肃,6094,2583
青 海,16082,9537
宁 夏,5291,1970
新 疆,11794,5841
