region,x10_2,x10_1
 北京,1125.59,748.7
 天津,1752.22,1748.57
 河北,45128.51,18821.15
 山西,27555.9,15817.63
 内蒙古,23584.11,13701.29
 辽宁,28269.61,10747.78
 吉林,5378.59,3170.63
 黑龙江,6016.68,4138.67
 上海,2442.2,2358.11
 江苏,10475.5,9997.24
 浙江,4445.75,4091.75
 安徽,11473.25,9366.42
 福建,4414.89,3024.33
 江西,11372.43,6304.66
 山东,19532.59,18298.49
 河南,14573.83,10964.22
 湖北,7595.79,6007.12
 湖南,8486.74,5678.78
 广东,5848.91,5119.47
 广西,7438.11,4292.36
 海南,420.76,201.3
 重庆,3299.18,2584.92
 四川,12684.47,6002.12
 贵州,7598.24,4014.64
 云南,17335.3,8727.68
 西藏,301.39,8.21
 陕西,7117.63,4265.74
 甘肃,6523.79,3341.77
 青海,12017.17,6785.13
 宁夏,3344.12,2047.64
 新疆,5219.09,2838.11
