region,x10_2,x10_1
北 京,194,114
天 津,1927,1921
河 北,40899,22320
山 西,45901,18585
内蒙古,41211,13814
辽 宁,24610,13139
吉 林,5022,2639
黑龙江,8316,3609
上 海,2073,1947
江 苏,13051,12350
浙 江,5315,5336
安 徽,14508,13594
福 建,6665,5588
江 西,11533,5586
山 东,25233,20027
河 南,16647,13061
湖 北,10217,6843
湖 南,4846,3748
广 东,7905,6652
广 西,9386,4296
海 南,658,441
重 庆,2267,1884
四 川,14435,6151
贵 州,10911,7828
云 南,17845,9196
西 藏,1930,172
陕 西,13050,6463
甘 肃,6262,2990
青 海,15753,8379
宁 夏,7857,3555
新 疆,10581,4430
