region,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
北京市,70538,55261,48656,42851,34497,28290,23749,18721,16402,14051,7342,,5168,5618,,,,2367,
天津市,26326,24945,20856,23407,22346,22021,17422,12263,10191,7341,5193,,3663,3050,,,,807,
河北省,34240,28135,21487,18762,14750,13074,7740,4999,4049,3358,2601,,1539,1058,,,,638,
山西省,12336,10218,8619,7917,6567,5350,4468,3505,3008,2345,1659,,856,603,,,,1079,
内蒙古自治区,6847,5799,5491,3909,3837,3103,2175,1660,1444,922,467,,422,288,,,,189,
辽宁省,31740,28788,22848,21089,19028,14188,10372,9055,6923,5054,4207,,3061,1496,,,,896,
吉林省,7109,6696,4853,4612,3518,3395,2649,1884,2985,2779,1006,,993,480,,,,204,
黑龙江省,9611,8260,6232,4708,5760,4716,3351,3052,2342,2055,1532,,1618,1002,,,,606,
上海市,66509,62147,53559,47940,43416,37513,30815,27540,20140,16805,12530,,9668,3111,,,,1094,
江苏省,242423,224512,180893,176120,140346,117912,85485,73252,52718,45120,26720,,14156,9680,,,,2990,
浙江省,120873,93159,75770,62341,49158,38661,31642,28235,22578,20553,18091,,11787,11098,,,,5070,
安徽省,78480,70467,54798,56296,49810,41791,28568,21667,13582,9215,5092,,3496,3508,,,,478,
福建省,45695,44702,34668,29543,24222,18514,12424,9176,7119,5400,3847,,2482,1648,,,,870,
江西省,21690,18715,13328,11878,10806,6993,4765,3383,2333,1398,975,,511,406,,,,148,
山东省,103410,78926,67896,63496,56076,45917,33785,26122,18340,15104,11207,,6507,5453,,,,2145,
河南省,42849,36500,30245,23857,19457,15863,11305,8497,6470,5133,4049,,3388,2102,,,,810,
湖北省,61986,49197,38000,32421,25568,23972,16965,12444,8745,7025,5379,,3834,2047,,,,1077,
湖南省,46937,39805,39642,33659,26697,22315,19087,14415,10512,8436,7432,,7864,2356,,,,1472,
广东省,511717,435509,375515,328467,289238,236918,177047,126936,97052,83280,66453,,27476,18757,,,,4373,
广西壮族自治区,14995,8667,8176,6846,6557,6010,3731,2670,1889,1499,932,,761,568,,,,196,
海南省,2348,1875,1501,1258,1656,1657,1378,1217,683,388,379,,131,29,,,,63,
重庆市,24388,20650,18281,17579,12472,8585,6328,6272,4792,3714,2532,,1584,1058,,,,484,
四川省,48898,42114,39658,35959,32598,24065,17601,15893,9043,6591,5618,,2456,1649,,,,927,
贵州省,9357,8487,7740,6544,6805,5411,4096,3146,1985,1370,990,,781,701,,,,212,
云南省,11021,9515,10131,6466,6510,5880,4605,2865,2280,1644,1208,,807,623,,,,197,
西藏自治区,227,185,156,82,96,115,90,44,32,71,58,,40,19,,,,,
陕西省,24226,21932,18774,16892,14806,11520,7506,6675,5449,4752,2464,,1636,931,,,,344,
甘肃省,4842,4017,3413,3208,2796,2427,1884,1265,1028,855,493,,790,356,,,,266,
青海省,1224,1061,760,559,399,393,271,246,205,170,87,,150,262,,,,42,
宁夏回族自治区,3397,3126,2777,2282,1633,1248,908,675,387,300,221,,171,111,,,,106,
新疆维吾尔自治区,5670,4580,3351,3252,2565,2030,1553,1111,695,468,325,,447,184,,,,165,
